UtilityCaptive,State,Sector,EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2017,1433.949,0
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2017,120.859,0
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2017,14.968,0
UTILITY,WEST BENGAL,UTILITY-RE,RENEWABLES,RENEWABLE,2017,0,0
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2017,0,0
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2017,0.017,0
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2017,12.095,0
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2018,1387.01,0
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2018,183.05,0
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2018,20.55,0
UTILITY,WEST BENGAL,UTILITY-RE,RENEWABLES,RENEWABLE,2018,0,0
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2018,0,0
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2018,0.162,0
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2018,0,0
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2019,1284.494,0
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2019,161.854,0
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2019,40.651,0
UTILITY,WEST BENGAL,UTILITY-RE,RENEWABLES,RENEWABLE,2019,0,0
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2019,0,0
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2019,8.146,0
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2019,0,0
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2020,1296.344,0
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2020,115.681,0
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2020,64.291,0
UTILITY,WEST BENGAL,UTILITY-RE,RENEWABLES,RENEWABLE,2020,0,0
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2020,0,0
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2020,22.197,0
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2020,0,0
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2008,157.413,0
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2008,0,0
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2008,0,0
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2008,0,0
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2008,0.04,0
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2009,157.413,0
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2009,0,0
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2009,0,0
