EnergySource,EnergySourceType,YearValue,Capacity_MW
COAL,NON-RENEWABLE,2013,152416.62
DIESEL,NON-RENEWABLE,2013,15248.59
NATURAL GAS,NON-RENEWABLE,2013,21378.36
HYDRO,NON-RENEWABLE,2013,40250.45
RENEWABLES,RENEWABLE,2013,28665.77
COAL,NON-RENEWABLE,2007,80187.521
DIESEL,NON-RENEWABLE,2007,9525.709
NATURAL GAS,NON-RENEWABLE,2007,16380.548
HYDRO,NON-RENEWABLE,2007,34665.555
RENEWABLES,RENEWABLE,2007,7760.6
COAL,NON-RENEWABLE,2006,77003.778
DIESEL,NON-RENEWABLE,2006,9220.501
NATURAL GAS,NON-RENEWABLE,2006,15504.368
HYDRO,NON-RENEWABLE,2006,32559.025
RENEWABLES,RENEWABLE,2006,6189.92
COAL,NON-RENEWABLE,2008,84981.493
DIESEL,NON-RENEWABLE,2008,10450.278
NATURAL GAS,NON-RENEWABLE,2008,18501.765
HYDRO,NON-RENEWABLE,2008,37088.555
RENEWABLES,RENEWABLE,2008,11125.41
COAL,NON-RENEWABLE,2009,89040.029
DIESEL,NON-RENEWABLE,2009,10550.029
NATURAL GAS,NON-RENEWABLE,2009,18656.287
HYDRO,NON-RENEWABLE,2009,37877.839
RENEWABLES,RENEWABLE,2009,13242.41
COAL,NON-RENEWABLE,2010,99433.844
DIESEL,NON-RENEWABLE,2010,11256.972
NATURAL GAS,NON-RENEWABLE,2010,21473.243
HYDRO,NON-RENEWABLE,2010,37613.555
RENEWABLES,RENEWABLE,2010,15521.21
COAL,NON-RENEWABLE,2011,111442.038
DIESEL,NON-RENEWABLE,2011,11455.613
NATURAL GAS,NON-RENEWABLE,2011,22373.185
HYDRO,NON-RENEWABLE,2011,38301.427
RENEWABLES,RENEWABLE,2011,18454.52
HYDRO,NON-RENEWABLE,2012,39715.14
COAL,NON-RENEWABLE,2012,132824.89
RENEWABLES,RENEWABLE,2012,24503.46
COAL,NON-RENEWABLE,2014,168973.578
DIESEL,NON-RENEWABLE,2014,13232.713
NATURAL GAS,NON-RENEWABLE,2014,25967.379
HYDRO,NON-RENEWABLE,2014,41290.151
RENEWABLES,RENEWABLE,2014,29462.55
COAL,NON-RENEWABLE,2015,189013.919
DIESEL,NON-RENEWABLE,2015,13307.58
NATURAL GAS,NON-RENEWABLE,2015,27689.759
WIND,RENEWABLE,2015,1277.867
HYDRO,NON-RENEWABLE,2015,42027.661
RENEWABLES,RENEWABLE,2015,31692.15
HYDRO,NON-RENEWABLE,2016,43537.661
COAL,NON-RENEWABLE,2016,213274.585
RENEWABLES,RENEWABLE,2016,38821.51
DIESEL,NON-RENEWABLE,2016,14146.972
NATURAL GAS,NON-RENEWABLE,2016,29860.546
SOLAR,RENEWABLE,2016,62.375
WIND,RENEWABLE,2016,1305.203
HYDRO,NON-RENEWABLE,2017,44543.709
COAL,NON-RENEWABLE,2017,222734.821
RENEWABLES,RENEWABLE,2017,57244.23
NATURAL GAS,NON-RENEWABLE,2017,31438.588
DIESEL,NON-RENEWABLE,2017,14187.322
SOLAR,RENEWABLE,2017,85.003
WIND,RENEWABLE,2017,1348.059
HYDRO,NON-RENEWABLE,2018,45344.381
COAL,NON-RENEWABLE,2018,233727.287
RENEWABLES,RENEWABLE,2018,69022.385
NATURAL GAS,NON-RENEWABLE,2018,32232.828
DIESEL,NON-RENEWABLE,2018,13982.231
SOLAR,RENEWABLE,2018,218.935
WIND,RENEWABLE,2018,1507.237
HYDRO,NON-RENEWABLE,2019,45590.811
COAL,NON-RENEWABLE,2019,254263.917
RENEWABLES,RENEWABLE,2019,77641.625
NATURAL GAS,NON-RENEWABLE,2019,33933.347
DIESEL,NON-RENEWABLE,2019,16408.601
SOLAR,RENEWABLE,2019,1063.758
WIND,RENEWABLE,2019,2002.837
HYDRO,NON-RENEWABLE,2020,45918.192
COAL,NON-RENEWABLE,2020,264892.645
RENEWABLES,RENEWABLE,2020,87027.675
NATURAL GAS,NON-RENEWABLE,2020,32480.225
DIESEL,NON-RENEWABLE,2020,13612.294
SOLAR,RENEWABLE,2020,1524.995
WIND,RENEWABLE,2020,2950.296
WIND,RENEWABLE,2011,566.689
WIND,RENEWABLE,2014,1248.2
WIND,RENEWABLE,2007,177.672
WIND,RENEWABLE,2006,148.665
WIND,RENEWABLE,2008,304.746
SOLAR,RENEWABLE,2014,10.798
SOLAR,RENEWABLE,2015,22.971
NUCLEAR,NON-RENEWABLE,2013,4780
NUCLEAR,NON-RENEWABLE,2007,3900
NUCLEAR,NON-RENEWABLE,2006,3360
NUCLEAR,NON-RENEWABLE,2008,4120
NUCLEAR,NON-RENEWABLE,2009,4120
NUCLEAR,NON-RENEWABLE,2010,4560
NUCLEAR,NON-RENEWABLE,2011,4780
NUCLEAR,NON-RENEWABLE,2012,4780
NATURAL GAS,NON-RENEWABLE,2012,23624.174
NUCLEAR,NON-RENEWABLE,2014,4780
NUCLEAR,NON-RENEWABLE,2015,5780
NUCLEAR,NON-RENEWABLE,2016,5780
NUCLEAR,NON-RENEWABLE,2017,6780
NUCLEAR,NON-RENEWABLE,2018,6780
NUCLEAR,NON-RENEWABLE,2019,6780
NUCLEAR,NON-RENEWABLE,2020,6780
WIND,RENEWABLE,2009,374.634
WIND,RENEWABLE,2010,453.889
DIESEL,NON-RENEWABLE,2012,11755.59
WIND,RENEWABLE,2012,872.21
