EnergySource,EnergySourceType,YearValue,CapacityIdentified_MW
HYDRO,NON-RENEWABLE,2015,148701
BIOMASS,RENEWABLE,2015,17538
SMALL HYDRO,RENEWABLE,2015,19749
SOLAR,RENEWABLE,2015,748990
WASTE,RENEWABLE,2015,2556
WIND,RENEWABLE,2016,310725.57
HYDRO,NON-RENEWABLE,2017,145320
HYDRO,NON-RENEWABLE,2018,145320
HYDRO,NON-RENEWABLE,2019,145320
HYDRO,NON-RENEWABLE,2020,145320
WIND,RENEWABLE,2020,695509
SMALL HYDRO,RENEWABLE,2019,19749
BIOMASS,RENEWABLE,2019,17538
WASTE,RENEWABLE,2019,2556
SOLAR,RENEWABLE,2019,748990
SMALL HYDRO,RENEWABLE,2020,21130.25
BIOMASS,RENEWABLE,2020,17537.3
WASTE,RENEWABLE,2020,2555
SOLAR,RENEWABLE,2020,748990
SMALL HYDRO,RENEWABLE,2017,19749
BIOMASS,RENEWABLE,2017,17538
WASTE,RENEWABLE,2017,2556
SOLAR,RENEWABLE,2017,748990
SMALL HYDRO,RENEWABLE,2018,21130
BIOMASS,RENEWABLE,2018,18600
SOLAR,RENEWABLE,2018,631072
WASTE,RENEWABLE,2018,2425
COGENERATION-BAGASSE,RENEWABLE,2015,5000
COGENERATION-BAGASSE,RENEWABLE,2019,5000
COGENERATION-BAGASSE,RENEWABLE,2020,5000
COGENERATION-BAGASSE,RENEWABLE,2017,5000
COGENERATION-BAGASSE,RENEWABLE,2018,7260
