Region,State,YearValue,CapacityIdentified_MW
ER,WEST BENGAL,2015,10199
ER,WEST BENGAL,2016,2.08
ER,WEST BENGAL,2017,10029
ER,WEST BENGAL,2018,10010
ER,WEST BENGAL,2019,10029
ER,WEST BENGAL,2020,11075.06
ER,JHARKHAND,2015,20407
ER,JHARKHAND,2016,91
ER,JHARKHAND,2017,19071
ER,JHARKHAND,2018,19107
ER,JHARKHAND,2019,19071
ER,JHARKHAND,2020,19090
ER,BIHAR,2015,13168
ER,BIHAR,2016,144
ER,BIHAR,2017,12455
ER,BIHAR,2018,12686
ER,BIHAR,2019,12455
ER,BIHAR,2020,16409
WR,MADHYA PRADESH,2015,66165
WR,MADHYA PRADESH,2016,10483.87
WR,MADHYA PRADESH,2017,65892
WR,MADHYA PRADESH,2018,65914
WR,MADHYA PRADESH,2019,65892
WR,MADHYA PRADESH,2020,81296
WR,CHHATTISGARH,2015,21879
WR,CHHATTISGARH,2016,76.58
WR,CHHATTISGARH,2017,21839
WR,CHHATTISGARH,2018,3580
WR,CHHATTISGARH,2019,21839
WR,CHHATTISGARH,2020,22178
NR,UTTAR PRADESH,2015,27057
NR,UTTAR PRADESH,2016,1260
NR,UTTAR PRADESH,2017,26998
NR,UTTAR PRADESH,2018,27725
NR,UTTAR PRADESH,2019,26998
NR,UTTAR PRADESH,2020,27098.45
WR,MAHARASHTRA,2015,72307
WR,MAHARASHTRA,2016,45394.34
WR,MAHARASHTRA,2017,71852
WR,MAHARASHTRA,2018,8621
WR,MAHARASHTRA,2019,71852
WR,MAHARASHTRA,2020,170057
ER,ODISHA,2015,26413
ER,ODISHA,2016,3093.48
ER,ODISHA,2017,29324
ER,ODISHA,2018,29502
ER,ODISHA,2019,29324
ER,ODISHA,2020,37661
SR,ANDHRA PRADESH,2015,42785
SR,ANDHRA PRADESH,2016,44228.6
SR,ANDHRA PRADESH,2017,42760
SR,ANDHRA PRADESH,2018,7701
SR,ANDHRA PRADESH,2019,42760
SR,ANDHRA PRADESH,2020,117097
SR,TELANGANA,2015,20410
SR,TELANGANA,2016,4244.29
SR,TELANGANA,2017,22429
SR,TELANGANA,2018,22633
SR,TELANGANA,2019,22429
SR,TELANGANA,2020,47366
ER,SIKKIM,2015,8050
ER,SIKKIM,2016,98
ER,SIKKIM,2017,9457
ER,SIKKIM,2018,9457
ER,SIKKIM,2019,9457
ER,SIKKIM,2020,9457
NER,ASSAM,2015,14899
NER,ASSAM,2016,112
NER,ASSAM,2017,14869
NER,ASSAM,2018,14899
NER,ASSAM,2019,14869
NER,ASSAM,2020,15078
NER,ARUNACHAL PRADESH,2015,60327
NER,ARUNACHAL PRADESH,2016,236
NER,ARUNACHAL PRADESH,2017,60063
NER,ARUNACHAL PRADESH,2018,60788
NER,ARUNACHAL PRADESH,2019,60063
NER,ARUNACHAL PRADESH,2020,61061
NER,MEGHALAYA,2015,8497
NER,MEGHALAYA,2016,82
NER,MEGHALAYA,2017,8401
NER,MEGHALAYA,2018,8401
NER,MEGHALAYA,2019,8401
NER,MEGHALAYA,2020,8402
NER,NAGALAND,2015,9071
NER,NAGALAND,2016,16
NER,NAGALAND,2017,8949
NER,NAGALAND,2018,8934
NER,NAGALAND,2019,8949
NER,NAGALAND,2020,8934
