Region,State,EnergySource,YearValue,Capacity_MW
ER,WEST BENGAL,SMALL HYDRO,2008,98.4
ER,WEST BENGAL,SOLAR,2008,0.05
ER,WEST BENGAL,SMALL HYDRO,2009,98.4
ER,WEST BENGAL,SOLAR,2009,0.05
ER,WEST BENGAL,SMALL HYDRO,2010,98.4
ER,WEST BENGAL,WIND,2010,4.3
ER,WEST BENGAL,COGENERATION-BAGASSE,2010,16
ER,WEST BENGAL,SOLAR,2010,1.15
ER,WEST BENGAL,SMALL HYDRO,2011,98.4
ER,WEST BENGAL,WIND,2011,4.3
ER,WEST BENGAL,COGENERATION-BAGASSE,2011,16
ER,WEST BENGAL,SOLAR,2011,1.15
ER,WEST BENGAL,SMALL HYDRO,2012,98.4
ER,WEST BENGAL,WIND,2012,4.3
ER,WEST BENGAL,COGENERATION-BAGASSE,2012,16
ER,WEST BENGAL,SOLAR,2012,2.05
ER,WEST BENGAL,SMALL HYDRO,2013,98.4
ER,WEST BENGAL,COGENERATION-BAGASSE,2013,26
ER,WEST BENGAL,SOLAR,2013,2.05
ER,WEST BENGAL,SMALL HYDRO,2014,98.4
ER,WEST BENGAL,COGENERATION-BAGASSE,2014,26
ER,WEST BENGAL,SOLAR,2014,7.05
ER,WEST BENGAL,SMALL HYDRO,2017,98.5
ER,WEST BENGAL,COGENERATION-BAGASSE,2017,300
ER,WEST BENGAL,SOLAR,2017,26.14
ER,WEST BENGAL,SMALL HYDRO,2018,98.5
ER,WEST BENGAL,COGENERATION-BAGASSE,2018,300
ER,WEST BENGAL,SOLAR,2018,37.32
ER,WEST BENGAL,SMALL HYDRO,2019,98.5
ER,WEST BENGAL,COGENERATION-BAGASSE,2019,300
ER,WEST BENGAL,SOLAR,2019,75.95
ER,WEST BENGAL,SMALL HYDRO,2020,98.5
ER,WEST BENGAL,COGENERATION-BAGASSE,2020,319.92
ER,WEST BENGAL,SOLAR,2020,114.46
ER,WEST BENGAL,SMALL HYDRO,2015,98.5
ER,WEST BENGAL,COGENERATION-BAGASSE,2015,292
ER,WEST BENGAL,SOLAR,2015,7.21
ER,WEST BENGAL,SMALL HYDRO,2016,98.5
ER,WEST BENGAL,COGENERATION-BAGASSE,2016,300
ER,WEST BENGAL,SOLAR,2016,7.772
ER,JHARKHAND,SMALL HYDRO,2008,4.05
ER,JHARKHAND,SMALL HYDRO,2009,4.05
ER,JHARKHAND,SMALL HYDRO,2010,4.05
ER,JHARKHAND,SMALL HYDRO,2011,4.05
ER,JHARKHAND,SMALL HYDRO,2012,4.05
ER,JHARKHAND,SOLAR,2012,4
ER,JHARKHAND,SMALL HYDRO,2013,4.05
ER,JHARKHAND,SOLAR,2013,16
ER,JHARKHAND,SMALL HYDRO,2014,4.05
ER,JHARKHAND,SOLAR,2014,16
ER,JHARKHAND,SMALL HYDRO,2017,4.05
ER,JHARKHAND,SOLAR,2017,23.27
ER,JHARKHAND,SMALL HYDRO,2018,4.05
ER,JHARKHAND,SOLAR,2018,25.67
ER,JHARKHAND,SMALL HYDRO,2019,4.05
ER,JHARKHAND,SOLAR,2019,34.95
ER,JHARKHAND,SMALL HYDRO,2020,4.05
ER,JHARKHAND,COGENERATION-BAGASSE,2020,4.3
ER,JHARKHAND,SOLAR,2020,38.4
ER,JHARKHAND,SMALL HYDRO,2015,4.05
ER,JHARKHAND,SOLAR,2015,16
ER,JHARKHAND,SMALL HYDRO,2016,4.05
ER,JHARKHAND,SOLAR,2016,16.186
ER,BIHAR,SMALL HYDRO,2008,50.4
ER,BIHAR,SMALL HYDRO,2009,54.6
ER,BIHAR,SMALL HYDRO,2010,54.6
ER,BIHAR,SMALL HYDRO,2011,59.8
ER,BIHAR,COGENERATION-BAGASSE,2011,9.5
ER,BIHAR,SMALL HYDRO,2012,64.3
ER,BIHAR,COGENERATION-BAGASSE,2012,15.5
ER,BIHAR,SMALL HYDRO,2013,70.7
ER,BIHAR,COGENERATION-BAGASSE,2013,43.3
ER,BIHAR,SMALL HYDRO,2014,70.7
ER,BIHAR,COGENERATION-BAGASSE,2014,43.42
ER,BIHAR,SMALL HYDRO,2017,70.7
ER,BIHAR,COGENERATION-BAGASSE,2017,113
ER,BIHAR,SOLAR,2017,108.52
ER,BIHAR,SMALL HYDRO,2018,70.7
ER,BIHAR,COGENERATION-BAGASSE,2018,113
ER,BIHAR,SOLAR,2018,142.45
ER,BIHAR,SMALL HYDRO,2019,70.7
ER,BIHAR,COGENERATION-BAGASSE,2019,113
ER,BIHAR,SOLAR,2019,142.45
ER,BIHAR,SMALL HYDRO,2020,70.7
ER,BIHAR,COGENERATION-BAGASSE,2020,121.2
ER,BIHAR,SOLAR,2020,151.57
ER,BIHAR,SMALL HYDRO,2015,70.7
ER,BIHAR,COGENERATION-BAGASSE,2015,93
ER,BIHAR,SMALL HYDRO,2016,70.7
ER,BIHAR,COGENERATION-BAGASSE,2016,104
ER,BIHAR,SOLAR,2016,5.1
WR,MADHYA PRADESH,SMALL HYDRO,2008,71.16
WR,MADHYA PRADESH,WIND,2008,187.7
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2008,1
WR,MADHYA PRADESH,WASTE,2008,2.75
WR,MADHYA PRADESH,SOLAR,2008,0.1
WR,MADHYA PRADESH,SMALL HYDRO,2009,71.16
WR,MADHYA PRADESH,WIND,2009,212.8
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2009,1
WR,MADHYA PRADESH,WASTE,2009,2.75
WR,MADHYA PRADESH,SOLAR,2009,0.1
WR,MADHYA PRADESH,SMALL HYDRO,2010,71.16
WR,MADHYA PRADESH,WIND,2010,229.4
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2010,1
WR,MADHYA PRADESH,WASTE,2010,2.7
WR,MADHYA PRADESH,SOLAR,2010,0.1
WR,MADHYA PRADESH,SMALL HYDRO,2011,86.16
WR,MADHYA PRADESH,WIND,2011,275.9
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2011,1
WR,MADHYA PRADESH,WASTE,2011,2.7
WR,MADHYA PRADESH,SOLAR,2011,0.1
WR,MADHYA PRADESH,SMALL HYDRO,2012,86.16
WR,MADHYA PRADESH,WIND,2012,376.4
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2012,8.5
WR,MADHYA PRADESH,WASTE,2012,3.9
WR,MADHYA PRADESH,SOLAR,2012,2.1
WR,MADHYA PRADESH,SMALL HYDRO,2013,86.16
WR,MADHYA PRADESH,WIND,2013,386
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2013,16
WR,MADHYA PRADESH,WASTE,2013,3.9
WR,MADHYA PRADESH,SOLAR,2013,37.315
WR,MADHYA PRADESH,SMALL HYDRO,2014,86.16
WR,MADHYA PRADESH,WIND,2014,423.4
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2014,26
WR,MADHYA PRADESH,WASTE,2014,3.9
WR,MADHYA PRADESH,SOLAR,2014,347.17
WR,MADHYA PRADESH,SMALL HYDRO,2017,86.16
WR,MADHYA PRADESH,WIND,2017,2497.79
WR,MADHYA PRADESH,WASTE,2017,3.9
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2017,93
WR,MADHYA PRADESH,SOLAR,2017,857.04
WR,MADHYA PRADESH,SMALL HYDRO,2018,86.16
WR,MADHYA PRADESH,WIND,2018,2519.89
WR,MADHYA PRADESH,WASTE,2018,15.4
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2018,93
WR,MADHYA PRADESH,SOLAR,2018,1305.35
WR,MADHYA PRADESH,SMALL HYDRO,2019,95.91
WR,MADHYA PRADESH,WIND,2019,2519.89
WR,MADHYA PRADESH,WASTE,2019,15.4
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2019,93
WR,MADHYA PRADESH,SOLAR,2019,1840.16
WR,MADHYA PRADESH,SMALL HYDRO,2020,95.91
WR,MADHYA PRADESH,WIND,2020,2519.89
WR,MADHYA PRADESH,WASTE,2020,15.4
