Region,State,YearValue,CapacityIdentified_MW
ER,WEST BENGAL,2015,7200
ER,WEST BENGAL,2016,2.08
ER,WEST BENGAL,2020,8246.06
ER,WEST BENGAL,2019,7200
ER,WEST BENGAL,2017,7200
ER,WEST BENGAL,2018,7181
ER,JHARKHAND,2015,18489
ER,JHARKHAND,2016,91
ER,JHARKHAND,2019,18489
ER,JHARKHAND,2020,18508
ER,JHARKHAND,2017,18489
ER,JHARKHAND,2018,18525
ER,BIHAR,2015,12415
ER,BIHAR,2016,144
ER,BIHAR,2020,16369
ER,BIHAR,2019,12415
ER,BIHAR,2017,12415
ER,BIHAR,2018,12646
WR,MADHYA PRADESH,2015,63922
WR,MADHYA PRADESH,2016,10483.87
WR,MADHYA PRADESH,2020,79326
WR,MADHYA PRADESH,2019,63922
WR,MADHYA PRADESH,2017,63922
WR,MADHYA PRADESH,2018,63944
WR,CHHATTISGARH,2015,19637
WR,CHHATTISGARH,2016,76.58
WR,CHHATTISGARH,2020,19976
WR,CHHATTISGARH,2019,19637
WR,CHHATTISGARH,2017,19637
WR,CHHATTISGARH,2018,1378
NR,UTTAR PRADESH,2015,26334
NR,UTTAR PRADESH,2016,1260
NR,UTTAR PRADESH,2020,26434.45
NR,UTTAR PRADESH,2019,26334
NR,UTTAR PRADESH,2017,26334
NR,UTTAR PRADESH,2018,27061
WR,MAHARASHTRA,2015,68538
WR,MAHARASHTRA,2016,45394.34
WR,MAHARASHTRA,2020,166743
WR,MAHARASHTRA,2019,68538
WR,MAHARASHTRA,2017,68538
WR,MAHARASHTRA,2018,5307
ER,ODISHA,2015,26343
ER,ODISHA,2016,3093.48
ER,ODISHA,2020,34680
ER,ODISHA,2019,26343
ER,ODISHA,2017,26343
ER,ODISHA,2018,26521
SR,ANDHRA PRADESH,2015,40419
SR,ANDHRA PRADESH,2016,44228.6
SR,ANDHRA PRADESH,2020,114756
SR,ANDHRA PRADESH,2019,40419
SR,ANDHRA PRADESH,2017,40419
SR,ANDHRA PRADESH,2018,5360
SR,TELANGANA,2015,20410
SR,TELANGANA,2016,4244.29
SR,TELANGANA,2020,45347
SR,TELANGANA,2019,20410
SR,TELANGANA,2017,20410
SR,TELANGANA,2018,20614
ER,SIKKIM,2015,5209
ER,SIKKIM,2016,98
ER,SIKKIM,2019,5209
ER,SIKKIM,2020,5209
